id_mercado,id_liga,opciones_totales,margen_casa_pct,timestamp,momio_1,ten_1,momio_2,ten_2,momio_3,ten_3
882043742,31908190,2,-22.22,2026-06-26T22:47:42.407789,2.0,INCR,3.6,DECR,,
882043835,31908201,4,12.54,2026-06-26T22:47:42.409912,1.7,DECR,3.65,INCR,3.8,DECR
