timestamp,id_mercado,id_liga,momio_1,momio_2,momio_3,vig_pct,tendencia_1,tendencia_2,tendencia_3
2026-06-26T23:42:28.964797,884828876,31991011,1.03,7.4,67.0,12.09,INCR,INCR,DECR
2026-06-26T23:42:58.969562,882049625,31908321,1.48,3.55,7.2,9.63,DECR,DECR,INCR
2026-06-26T23:42:58.969612,884828876,31991011,1.04,7.0,61.0,12.08,INCR,INCR,DECR
2026-06-26T23:43:28.974001,884828876,31991011,1.05,6.8,56.0,11.73,DECR,DECR,INCR
2026-06-26T23:43:28.974069,882043742,31908190,1.45,3.55,6.5,12.52,INCR,DECR,INCR
2026-06-26T23:43:28.974103,882058544,31908583,1.571,3.95,4.333,12.05,DECR,DECR,INCR
2026-06-26T23:43:58.978332,884828876,31991011,1.062,6.5,51.0,11.51,DECR,DECR,INCR
2026-06-26T23:44:59.086203,882049625,31908321,1.1,7.0,21.0,9.96,INCR,INCR,DECR
2026-06-26T23:45:29.094801,882049625,31908321,1.125,6.4,19.0,9.78,DECR,DECR,INCR
2026-06-26T23:45:59.098303,884828876,31991011,1.05,6.6,56.0,12.18,INCR,INCR,DECR
2026-06-26T23:45:59.098376,882058544,31908583,1.55,3.9,4.5,12.38,INCR,DECR,DECR
2026-06-26T23:45:59.098411,882049625,31908321,1.55,3.25,6.6,10.44,DECR,DECR,INCR
2026-06-26T23:46:29.102901,882049625,31908321,1.55,3.3,6.6,9.97,DECR,DECR,INCR
2026-06-26T23:46:29.102962,882043835,31908201,2.333,2.375,3.7,12.0,DECR,INCR,INCR
2026-06-26T23:46:29.103006,884828876,31991011,1.062,6.2,51.0,12.25,INCR,INCR,DECR
2026-06-26T23:46:59.105800,884828876,31991011,1.05,6.6,56.0,12.18,INCR,INCR,DECR
2026-06-26T23:46:59.105849,882049625,31908321,1.65,2.95,6.4,10.13,DECR,INCR,DECR
2026-06-26T23:47:29.109762,884828876,31991011,1.062,6.4,56.0,11.57,DECR,DECR,INCR
2026-06-26T23:47:29.109823,882043835,31908201,2.3,2.5,3.5,12.05,DECR,DECR,INCR
2026-06-26T23:47:59.115635,884828876,31991011,1.04,7.0,67.0,11.93,DECR,DECR,DECR
2026-06-26T23:47:59.115699,882049625,31908321,1.533,3.3,7.0,9.82,INCR,INCR,DECR
2026-06-26T23:48:29.118545,882058544,31908583,1.6,3.8,4.333,11.89,DECR,INCR,DECR
2026-06-26T23:48:29.118611,884828876,31991011,1.04,7.0,67.0,11.93,DECR,INCR,DECR
2026-06-26T23:48:59.122048,882049625,31908321,1.5,3.35,7.5,9.85,INCR,INCR,DECR
2026-06-26T23:48:59.122236,884828876,31991011,1.03,7.4,76.0,11.92,INCR,INCR,DECR
2026-06-26T23:49:29.126901,884828876,31991011,1.03,7.25,76.0,12.2,INCR,DECR,INCR
2026-06-26T23:50:29.133850,884828876,31991011,1.025,7.5,81.0,12.13,INCR,INCR,DECR
2026-06-26T23:50:59.138353,884828876,31991011,1.03,7.4,81.0,11.84,INCR,DECR,DECR
2026-06-26T23:51:29.184569,884828876,31991011,1.015,8.0,101.0,12.01,INCR,DECR,INCR
2026-06-26T23:51:59.188058,884828876,31991011,1.015,8.2,101.0,11.71,INCR,INCR,DECR
2026-06-26T23:51:59.188106,882043835,31908201,2.15,2.55,3.9,11.37,INCR,DECR,INCR
2026-06-26T23:51:59.188137,882043742,31908190,1.333,3.8,9.6,11.75,INCR,DECR,INCR
2026-06-26T23:52:29.192182,884828876,31991011,1.01,8.4,101.0,11.9,DECR,INCR,INCR
2026-06-26T23:52:59.199999,884828876,31991011,1.015,8.2,101.0,11.71,INCR,INCR,DECR
2026-06-26T23:53:29.203986,884828876,31991011,1.01,8.2,101.0,12.2,INCR,INCR,DECR
2026-06-26T23:53:59.207906,882043835,31908201,2.05,2.7,3.8,12.13,INCR,DECR,DECR
2026-06-26T23:53:59.207998,882043742,31908190,1.3,3.85,10.5,12.42,INCR,INCR,DECR
2026-06-26T23:53:59.215005,882058544,31908583,1.615,3.65,4.4,12.04,DECR,INCR,DECR
2026-06-26T23:54:29.245467,884828876,31991011,1.01,8.4,101.0,11.9,INCR,DECR,DECR
2026-06-26T23:55:29.261046,882043742,31908190,1.333,3.75,10.0,11.69,DECR,INCR,DECR
2026-06-26T23:55:59.265456,882043742,31908190,1.3,3.75,10.5,13.11,DECR,DECR,DECR
2026-06-26T23:58:29.298607,882043835,31908201,1.95,2.9,3.8,12.08,INCR,INCR,DECR
2026-06-26T23:58:29.298743,882058544,31908583,1.65,3.5,4.333,12.26,DECR,DECR,INCR
2026-06-26T23:58:59.305664,882058544,31908583,1.65,3.5,4.333,12.26,DECR,DECR,INCR
2026-06-26T23:59:59.357926,882043835,31908201,1.95,2.95,3.85,11.15,INCR,INCR,INCR
2026-06-27T00:00:29.379638,882043835,31908201,1.9,3.0,3.9,11.61,DECR,INCR,INCR
